DOCID,CUSTODIAN,CATEGORY,SUBCATEGORY,STORYLINE,KEY_DOCUMENT,CONFIDENTIALITY,SUGGESTED_PRIVILEGE,EXACT_DUPLICATE,FILENAME,SUBJECT_OR_TITLE
CROWN00000055,King Henry VIII,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000056,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,The royal stables accounts.eml,The royal stables accounts
CROWN00000057,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,Report_rtn-00727.pdf,Report — the royal stables accounts
CROWN00000058,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re The royal stables accounts.eml,Re: The royal stables accounts
CROWN00000059,King Henry VIII,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000060,King Henry VIII,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000061,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  18 Sep 1525.eml,Tudor Times Weekly — 18 Sep 1525
CROWN00000062,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000063,Queen Anne Boleyn,routine,report,(routine),No,,No,No,Re the kitchen accounts for the quarter.eml,Re: the kitchen accounts for the quarter
CROWN00000064,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re the kitchen accounts for the quarter.eml,Re: the kitchen accounts for the quarter
CROWN00000065,King Henry VIII,routine,logistics,(routine),No,,No,No,The royal stables accounts  for approval.eml,The royal stables accounts — for approval
CROWN00000066,King Henry VIII,routine,approval,(routine),No,,No,No,Re The royal stables accounts  for approval.eml,Re: The royal stables accounts — for approval
CROWN00000067,King Henry VIII,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000068,Queen Anne Boleyn,loose,xlsx,(loose),No,Confidential,No,No,Inventory_JewelHouse_anne_boleyn128.xlsx,Inventory of the Jewel House
CROWN00000069,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Muster Of Able Men.eml,Automatic reply: The Muster Of Able Men
CROWN00000070,Thomas Cromwell,routine,request,(routine),No,,No,No,The purveyance of venison quarterly.eml,The purveyance of venison (quarterly)
CROWN00000071,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The purveyance of venison quarterly.eml,Re: The purveyance of venison (quarterly)
CROWN00000072,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000073,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,The garter ceremony arrangements  for approval.eml,The garter ceremony arrangements — for approval
CROWN00000074,King Henry VIII,routine,concern,(routine),No,,No,No,Re the tiltyard schedule.eml,Re: the tiltyard schedule
CROWN00000075,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Harvest Levy.eml,Automatic reply: The Harvest Levy
CROWN00000076,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000077,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000078,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply Repairs To The Royal Barge.eml,Automatic reply: Repairs To The Royal Barge
CROWN00000079,Queen Anne Boleyn,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000080,King Henry VIII,noise,bounce,(noise),No,,No,No,Undeliverable The New Coinage.eml,Undeliverable: The New Coinage
CROWN00000081,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,NEW The Hampton Court Meat Feast Feeds a Whole Privy Council.eml,NEW: The Hampton Court Meat Feast (Feeds a Whole Privy Council)
CROWN00000082,King Henry VIII,noise,bounce,(noise),No,,No,No,Undeliverable The Scottish Border.eml,Undeliverable: The Scottish Border
CROWN00000083,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re the kitchen accounts for the quarter.eml,Re: the kitchen accounts for the quarter
CROWN00000084,King Henry VIII,routine,logistics,(routine),No,,No,No,Note the tiltyard schedule.eml,Note: the tiltyard schedule
CROWN00000085,King Henry VIII,routine,approval,(routine),No,,No,No,Re Note the tiltyard schedule.eml,Re: Note: the tiltyard schedule
CROWN00000086,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,Note the ordnance survey.eml,Note: the ordnance survey
CROWN00000087,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,Report_rtn-00672.pdf,Report — the ordnance survey
CROWN00000088,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Grand Joust at the Shrovetide Lists.eml,Invitation: Grand Joust at the Shrovetide Lists
CROWN00000089,King Henry VIII,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000090,King Henry VIII,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000091,King Henry VIII,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000092,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Reminder Mandatory Doublet  Hose Compliance Training.eml,Reminder: Mandatory Doublet & Hose Compliance Training
CROWN00000093,King Henry VIII,routine,logistics,(routine),No,,No,No,The royal barge repairs quarterly.eml,The royal barge repairs (quarterly)
CROWN00000094,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Privy Council  Weekly Sitting.eml,Invitation: Privy Council — Weekly Sitting
CROWN00000095,King Henry VIII,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000096,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Scheduled Maintenance The Royal Scriptorium Sunday 2am-6am.eml,"Scheduled Maintenance: The Royal Scriptorium (Sunday, 2am-6am)"
CROWN00000097,King Henry VIII,noise,calendar,(noise),No,,No,No,Invitation Coronation Banquet.eml,Invitation: Coronation Banquet
CROWN00000098,King Henry VIII,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Coronation Banquet
CROWN00000099,Thomas Cromwell,noise,spam_vendor,(noise),No,,No,No,New Leeches In Stock  Free Delivery on Tonics.eml,New Leeches In Stock + Free Delivery on Tonics
CROWN00000100,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000101,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Quill_Procurement_Policy_Q-1536.docx,Quill Procurement Policy (Form Q-1536)
CROWN00000102,Queen Anne Boleyn,routine,report,(routine),No,Confidential,No,No,The progress to the palace of whitehall quarterly.eml,The progress to the palace of whitehall (quarterly)
CROWN00000103,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re The progress to the palace of whitehall quarterly.eml,Re: The progress to the palace of whitehall (quarterly)
CROWN00000104,King Henry VIII,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000105,King Henry VIII,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000106,King Henry VIII,noise,calendar,(noise),No,,No,No,Invitation Garter Ceremony.eml,Invitation: Garter Ceremony
CROWN00000107,Thomas Cromwell,routine,concern,(routine),No,,No,No,Note the ordnance survey.eml,Note: the ordnance survey
CROWN00000108,Thomas Cromwell,routine,report,(routine),No,,No,No,The wine shipment from gascony.eml,The wine shipment from gascony
CROWN00000109,Thomas Cromwell,routine,report,(routine),No,,No,No,WorkOrder_rtn-00629.docx,Work Order — the wine shipment from Gascony
CROWN00000110,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The wine shipment from gascony.eml,Re: The wine shipment from gascony
CROWN00000111,Queen Anne Boleyn,noise,bounce,(noise),No,,No,No,Undeliverable The Wool Staple At Calais.eml,Undeliverable: The Wool Staple At Calais
CROWN00000112,Thomas Cromwell,routine,concern,(routine),No,Confidential,No,No,The progress to westminster.eml,The progress to westminster
CROWN00000113,King Henry VIII,routine,logistics,(routine),No,,No,No,Re the purveyance of venison.eml,Re: the purveyance of venison
CROWN00000114,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000115,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000116,Thomas Cromwell,routine,logistics,(routine),No,,No,No,The new years gift roll  for approval.eml,The new year's gift roll — for approval
CROWN00000117,King Henry VIII,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000118,Queen Anne Boleyn,routine,report,(routine),No,Confidential,No,No,Note the purveyance of venison.eml,Note: the purveyance of venison
CROWN00000119,King Henry VIII,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000120,Queen Anne Boleyn,noise,bounce,(noise),No,,No,No,Undeliverable The Ordnance Accounts.eml,Undeliverable: The Ordnance Accounts
CROWN00000121,King Henry VIII,routine,request,(routine),No,,No,No,Note the progress to Richmond Palace.eml,Note: the progress to Richmond Palace
CROWN00000122,King Henry VIII,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000123,Thomas Cromwell,routine,logistics,(routine),No,,No,No,The new years gift roll.eml,The new year's gift roll
CROWN00000124,Thomas Cromwell,routine,logistics,(routine),No,,No,No,WorkOrder_rtn-00347.docx,Work Order — the New Year's gift roll
CROWN00000125,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Muster Of Able Men.eml,Automatic reply: The Muster Of Able Men
CROWN00000126,Thomas Cromwell,loose,xlsx,(loose),No,Confidential,No,No,Inventory_JewelHouse_cromwell097.xlsx,Inventory of the Jewel House
CROWN00000127,Thomas Cromwell,loose,xlsx,(loose),No,Confidential,No,No,Inventory_JewelHouse_cromwell097_rev2.xlsx,Inventory of the Jewel House (rev. 2)
CROWN00000128,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Subsidy Roll.eml,Automatic reply: The Subsidy Roll
CROWN00000129,Queen Anne Boleyn,loose,xlsx,(loose),No,Confidential,No,No,Treasury_Ledger_1526_Lady Day_anne_boleyn142.xlsx,Treasury Ledger — Lady Day 1526
CROWN00000130,Thomas Cromwell,routine,report,(routine),No,,No,No,The kitchen accounts for the quarter.eml,The kitchen accounts for the quarter
CROWN00000131,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Subsidy Roll.eml,Automatic reply: The Subsidy Roll
CROWN00000132,Queen Anne Boleyn,routine,concern,(routine),No,Confidential,No,No,The embassy to france quarterly.eml,The embassy to france (quarterly)
CROWN00000133,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000134,King Henry VIII,routine,approval,(routine),No,,No,No,Re the Christmas revels.eml,Re: the Christmas revels
CROWN00000135,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,Note the repair of the great clock.eml,Note: the repair of the great clock
CROWN00000136,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  28 Sep 1526.eml,Tudor Times Weekly — 28 Sep 1526
CROWN00000137,Thomas Cromwell,routine,concern,(routine),No,,No,No,Re the purveyance of venison.eml,Re: the purveyance of venison
CROWN00000138,Thomas Cromwell,routine,concern,(routine),No,,No,No,Invoice_rtn-00641.xlsx,Account — the purveyance of venison
CROWN00000139,Queen Anne Boleyn,routine,report,(routine),No,Confidential,No,No,The garter ceremony arrangements.eml,The garter ceremony arrangements
CROWN00000140,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re The garter ceremony arrangements.eml,Re: The garter ceremony arrangements
CROWN00000141,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  13 Oct 1526.eml,Tudor Times Weekly — 13 Oct 1526
CROWN00000142,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000143,Thomas Cromwell,routine,report,(routine),No,Confidential,No,No,The kitchen accounts for the quarter.eml,The kitchen accounts for the quarter
CROWN00000144,Thomas Cromwell,routine,report,(routine),No,,No,No,WorkOrder_rtn-00673.docx,Work Order — the kitchen accounts for the quarter
CROWN00000145,Queen Anne Boleyn,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000146,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000147,King Henry VIII,loose,png,(loose),No,,No,No,Plan_henry149.png,Plan of Richmond Palace
CROWN00000148,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Wool Staple At Calais.eml,Automatic reply: The Wool Staple At Calais
CROWN00000149,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  11 Nov 1526.eml,Tudor Times Weekly — 11 Nov 1526
CROWN00000150,Thomas Cromwell,routine,logistics,(routine),No,,No,No,The masque costumes.eml,The masque costumes
CROWN00000151,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The masque costumes.eml,Re: The masque costumes
CROWN00000152,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000153,Queen Anne Boleyn,loose,docx,(loose),No,Internal - Privy Council,No,No,Council_Notes_15261205_anne_boleyn133.docx,Privy Council Notes — 05 December 1526
CROWN00000154,Thomas Cromwell,routine,report,(routine),No,,No,No,Re the ordnance survey.eml,Re: the ordnance survey
CROWN00000155,King Henry VIII,noise,bounce,(noise),No,,No,No,Undeliverable The New Coinage.eml,Undeliverable: The New Coinage
CROWN00000156,King Henry VIII,routine,report,(routine),No,,No,No,The wine shipment from gascony quarterly.eml,The wine shipment from gascony (quarterly)
CROWN00000157,King Henry VIII,routine,report,(routine),No,,No,No,Report_rtn-00464.pdf,Report — the wine shipment from Gascony
CROWN00000158,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Christmas Revels.eml,Automatic reply: The Christmas Revels
CROWN00000159,King Henry VIII,routine,concern,(routine),No,,No,No,The christmas revels quarterly.eml,The christmas revels (quarterly)
CROWN00000160,Thomas Cromwell,loose,docx,(loose),No,Internal - Privy Council,No,No,Draft_Proclamation_cromwell122.docx,Draft Proclamation touching the victualling of the fleet
CROWN00000161,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,the oath of the clergy an update.eml,the oath of the clergy: an update
CROWN00000162,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Notes_great_matter_nar-00063.docx,Notes on the oath of the clergy
CROWN00000163,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Re the oath of the clergy an update.eml,Re: the oath of the clergy: an update
CROWN00000164,Thomas Cromwell,routine,report,(routine),No,,No,No,The royal barge repairs  for approval.eml,The royal barge repairs — for approval
CROWN00000165,Thomas Cromwell,routine,report,(routine),No,,No,No,The works at eltham palace quarterly.eml,The works at eltham palace (quarterly)
CROWN00000166,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The works at eltham palace quarterly.eml,Re: The works at eltham palace (quarterly)
CROWN00000167,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Attendance Requested at Tower Green 9 oclock.eml,"Invitation: Attendance Requested at Tower Green, 9 o'clock"
CROWN00000168,Thomas Cromwell,noise,calendar,(noise),No,,No,No,invite.ics,"Invitation — Attendance Requested at Tower Green, 9 o'clock"
CROWN00000169,Thomas Cromwell,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000170,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  03 Mar 1527.eml,Tudor Times Weekly — 03 Mar 1527
CROWN00000171,King Henry VIII,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000172,Queen Anne Boleyn,routine,request,(routine),No,,No,No,Note the victualling of the fleet.eml,Note: the victualling of the fleet
CROWN00000173,Thomas Cromwell,routine,concern,(routine),No,Confidential,No,No,Re the kitchen accounts for the quarter.eml,Re: the kitchen accounts for the quarter
CROWN00000174,King Henry VIII,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000175,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000176,Queen Anne Boleyn,loose,png,(loose),No,,No,No,Plan_anne_boleyn145.png,Plan of Eltham Palace
CROWN00000177,King Henry VIII,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000178,Queen Anne Boleyn,loose,png,(loose),No,,No,No,Plan_anne_boleyn145_rev2.png,Plan of Eltham Palace (rev. 2)
CROWN00000179,King Henry VIII,routine,report,(routine),No,,No,No,The christmas revels quarterly.eml,The christmas revels (quarterly)
CROWN00000180,Thomas Cromwell,routine,concern,(routine),No,,No,No,Note the progress to Nonsuch Palace.eml,Note: the progress to Nonsuch Palace
CROWN00000181,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Note the tiltyard schedule.eml,Note: the tiltyard schedule
CROWN00000182,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re Note the tiltyard schedule.eml,Re: Note: the tiltyard schedule
CROWN00000183,King Henry VIII,routine,request,(routine),No,,No,No,The royal stables accounts quarterly.eml,The royal stables accounts (quarterly)
